Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
AKG Exim Limited,48.28205,1.1381081,27.023,0.1455187390610315,0.0520307211637942
AKI India Limited,87.588234,2.138446,37.112,0.1455187390610315,0.0520307211637942
Akshar Spintex Limited,65.54656602500884,0.52631575,43.251,0.1455187390610315,0.0520307211637942
AksharChem (India) Limited,65.54656602500884,0.9472813,26.108,-0.013300001,0.00642
Aksh Optifibre Limited,65.54656602500884,5.186972,252.984,0.1455187390610315,0.0520307211637942
,32.42408,3.1485658,18.633,0.16596001,0.05006
Akzo Nobel India Limited,36.65934,11.196178,4.524,0.31476998,0.11605
Alankit Limited,19.923811,1.9103278,10.635,0.10354,0.03275
Albert David Limited,10.902616,1.9502931,0.868,0.1455187390610315,0.0520307211637942
Alembic Limited,11.248966,1.597857,0.419,0.1455187390610315,0.0520307211637942
Alicon Castalloy Limited,23.381895,3.0507092,59.666,0.1455187390610315,0.0520307211637942
Alkali Metals Limited,65.54656602500884,2.3212693,89.8259119818285,0.1455187390610315,0.0520307211637942
Alkem Laboratories Limited,30.887424,6.356084,13.238,0.1455187390610315,0.0520307211637942
Alkyl Amines Chemicals Limited,56.608177,7.2312613,0.17,0.13419,0.08249
Allcargo Logistics Limited,113.93182,1.9537766,89.8259119818285,0.1455187390610315,0.0520307211637942
Alldigi Tech Limited,18.681683,5.321946,15.288,0.289,0.14601
Almondz Global Securities Limited,15.731708,2.3058772,13.477,0.15301,0.108459994
Alok Industries Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,-0.028269999
Alpa Laboratories Limited,11.858586,1.6260839,3.454,0.1455187390610315,0.0520307211637942
Alphageo (India) Limited,20.99244,1.0140095,89.8259119818285,0.1455187390610315,0.0520307211637942
Alps Industries Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,0.0520307211637942
Amber Enterprises India Limited,125.345665,11.054053,95.3,0.0939,0.045339998
Ambica Agarbathies Aroma & Industries Limited,34.333336,0.49432367,79.303,0.01455,0.03011
Ambika Cotton Mills Limited,14.272503,1.0321436,89.8259119818285,0.07416,0.053189997
Ambuja Cements Limited,41.970276,2.6940746,1.301,0.077259995,0.03824
AMD Industries Limited,76.139244,0.7384536,66.777,0.1455187390610315,0.0520307211637942
Ami Organics Limited,91.63808,7.0752926,0.509,0.10312,0.066
