Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
AKG Exim Limited,48.28205,1.1381081,27.023,14.551873906103149,5.2030721163794205
AKI India Limited,87.588234,2.138446,37.112,14.551873906103149,5.2030721163794205
Akshar Spintex Limited,65.54656602500884,0.52631575,43.251,14.551873906103149,5.2030721163794205
AksharChem (India) Limited,65.54656602500884,0.9472813,26.108,-1.3300001000000001,0.642
Aksh Optifibre Limited,65.54656602500884,5.186972,252.984,14.551873906103149,5.2030721163794205
,32.42408,3.1485658,18.633,16.596000999999998,5.006
Akzo Nobel India Limited,36.65934,11.196178,4.524,31.476998000000002,11.605
Alankit Limited,19.923811,1.9103278,10.635,10.354,3.2750000000000004
Albert David Limited,10.902616,1.9502931,0.868,14.551873906103149,5.2030721163794205
Alembic Limited,11.248966,1.597857,0.419,14.551873906103149,5.2030721163794205
Alicon Castalloy Limited,23.381895,3.0507092,59.666,14.551873906103149,5.2030721163794205
Alkali Metals Limited,65.54656602500884,2.3212693,89.8259119818285,14.551873906103149,5.2030721163794205
Alkem Laboratories Limited,30.887424,6.356084,13.238,14.551873906103149,5.2030721163794205
Alkyl Amines Chemicals Limited,56.608177,7.2312613,0.17,13.419,8.248999999999999
Allcargo Logistics Limited,113.93182,1.9537766,89.8259119818285,14.551873906103149,5.2030721163794205
Alldigi Tech Limited,18.681683,5.321946,15.288,28.9,14.601
Almondz Global Securities Limited,15.731708,2.3058772,13.477,15.301,10.8459994
Alok Industries Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,-2.8269999
Alpa Laboratories Limited,11.858586,1.6260839,3.454,14.551873906103149,5.2030721163794205
Alphageo (India) Limited,20.99244,1.0140095,89.8259119818285,14.551873906103149,5.2030721163794205
Alps Industries Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Amber Enterprises India Limited,125.345665,11.054053,95.3,9.39,4.5339998
Ambica Agarbathies Aroma & Industries Limited,34.333336,0.49432367,79.303,1.455,3.011
Ambika Cotton Mills Limited,14.272503,1.0321436,89.8259119818285,7.416,5.3189997
Ambuja Cements Limited,41.970276,2.6940746,1.301,7.7259994999999995,3.8240000000000003
AMD Industries Limited,76.139244,0.7384536,66.777,14.551873906103149,5.2030721163794205
